upd    1 | step    2048 | mean_ep_len  229.0 | mean_ep_rew  229.0 | pg_loss -0.040 | v_loss 124.392 | ent 2.188 | clipfrac 0.048 | sps 4064
upd    2 | step    4096 | mean_ep_len  226.4 | mean_ep_rew  226.4 | pg_loss -0.029 | v_loss 117.995 | ent 2.181 | clipfrac 0.035 | sps 4302
upd    3 | step    6144 | mean_ep_len  213.2 | mean_ep_rew  213.2 | pg_loss -0.035 | v_loss 116.875 | ent 2.174 | clipfrac 0.051 | sps 4375
upd    4 | step    8192 | mean_ep_len  213.1 | mean_ep_rew  213.1 | pg_loss -0.016 | v_loss 122.922 | ent 2.158 | clipfrac 0.049 | sps 4420
upd    5 | step   10240 | mean_ep_len  229.8 | mean_ep_rew  229.8 | pg_loss -0.057 | v_loss 113.230 | ent 2.143 | clipfrac 0.092 | sps 4419
upd    6 | step   12288 | mean_ep_len  219.8 | mean_ep_rew  219.8 | pg_loss -0.035 | v_loss 111.547 | ent 2.154 | clipfrac 0.063 | sps 4438
upd    7 | step   14336 | mean_ep_len  220.7 | mean_ep_rew  220.7 | pg_loss -0.019 | v_loss 113.297 | ent 2.146 | clipfrac 0.048 | sps 4457
upd    8 | step   16384 | mean_ep_len  219.1 | mean_ep_rew  219.1 | pg_loss -0.019 | v_loss 116.143 | ent 2.128 | clipfrac 0.079 | sps 4472
upd    9 | step   18432 | mean_ep_len  244.0 | mean_ep_rew  244.0 | pg_loss -0.042 | v_loss 107.454 | ent 2.125 | clipfrac 0.048 | sps 4478
upd   10 | step   20480 | mean_ep_len  251.1 | mean_ep_rew  251.1 | pg_loss -0.025 | v_loss 121.087 | ent 2.122 | clipfrac 0.089 | sps 4475
upd   11 | step   22528 | mean_ep_len  253.9 | mean_ep_rew  253.9 | pg_loss +0.010 | v_loss 111.296 | ent 2.112 | clipfrac 0.036 | sps 4479
upd   12 | step   24576 | mean_ep_len  269.3 | mean_ep_rew  269.3 | pg_loss -0.030 | v_loss 102.961 | ent 2.089 | clipfrac 0.092 | sps 4477
upd   13 | step   26624 | mean_ep_len  274.9 | mean_ep_rew  274.9 | pg_loss -0.011 | v_loss 109.136 | ent 2.079 | clipfrac 0.037 | sps 4479
upd   14 | step   28672 | mean_ep_len  285.9 | mean_ep_rew  285.9 | pg_loss -0.036 | v_loss 110.398 | ent 2.111 | clipfrac 0.055 | sps 4471
upd   15 | step   30720 | mean_ep_len  308.1 | mean_ep_rew  308.1 | pg_loss -0.042 | v_loss 105.173 | ent 2.109 | clipfrac 0.088 | sps 4466
upd   16 | step   32768 | mean_ep_len  309.5 | mean_ep_rew  309.5 | pg_loss -0.004 | v_loss 107.977 | ent 2.103 | clipfrac 0.074 | sps 4370
upd   17 | step   34816 | mean_ep_len  275.3 | mean_ep_rew  275.3 | pg_loss -0.033 | v_loss 88.515 | ent 2.125 | clipfrac 0.044 | sps 4382
upd   18 | step   36864 | mean_ep_len  290.5 | mean_ep_rew  290.5 | pg_loss -0.024 | v_loss 112.015 | ent 2.100 | clipfrac 0.028 | sps 4387
upd   19 | step   38912 | mean_ep_len  282.4 | mean_ep_rew  282.4 | pg_loss -0.027 | v_loss 96.437 | ent 2.106 | clipfrac 0.071 | sps 4385
upd   20 | step   40960 | mean_ep_len  271.3 | mean_ep_rew  271.3 | pg_loss -0.004 | v_loss 101.661 | ent 2.120 | clipfrac 0.079 | sps 4387
upd   21 | step   43008 | mean_ep_len  250.1 | mean_ep_rew  250.1 | pg_loss -0.023 | v_loss 98.197 | ent 2.089 | clipfrac 0.091 | sps 4393
upd   22 | step   45056 | mean_ep_len  236.9 | mean_ep_rew  236.9 | pg_loss -0.013 | v_loss 101.168 | ent 2.079 | clipfrac 0.074 | sps 4403
upd   23 | step   47104 | mean_ep_len  222.4 | mean_ep_rew  222.4 | pg_loss -0.038 | v_loss 89.791 | ent 2.099 | clipfrac 0.031 | sps 4408
upd   24 | step   49152 | mean_ep_len  224.9 | mean_ep_rew  224.9 | pg_loss +0.012 | v_loss 100.907 | ent 2.083 | clipfrac 0.075 | sps 4413
upd   25 | step   51200 | mean_ep_len  211.0 | mean_ep_rew  211.0 | pg_loss -0.002 | v_loss 90.440 | ent 2.066 | clipfrac 0.104 | sps 4419
upd   26 | step   53248 | mean_ep_len  224.8 | mean_ep_rew  224.8 | pg_loss -0.022 | v_loss 92.266 | ent 2.072 | clipfrac 0.079 | sps 4421
upd   27 | step   55296 | mean_ep_len  255.0 | mean_ep_rew  255.0 | pg_loss -0.027 | v_loss 100.150 | ent 2.080 | clipfrac 0.120 | sps 4420
upd   28 | step   57344 | mean_ep_len  276.0 | mean_ep_rew  276.0 | pg_loss -0.043 | v_loss 91.159 | ent 2.040 | clipfrac 0.133 | sps 4422
upd   29 | step   59392 | mean_ep_len  281.7 | mean_ep_rew  281.7 | pg_loss -0.012 | v_loss 97.506 | ent 2.046 | clipfrac 0.046 | sps 4426
upd   30 | step   61440 | mean_ep_len  308.7 | mean_ep_rew  308.7 | pg_loss -0.008 | v_loss 93.920 | ent 2.058 | clipfrac 0.044 | sps 4427
upd   31 | step   63488 | mean_ep_len  323.9 | mean_ep_rew  323.9 | pg_loss -0.042 | v_loss 92.306 | ent 2.055 | clipfrac 0.122 | sps 4424
upd   32 | step   65536 | mean_ep_len  357.1 | mean_ep_rew  357.1 | pg_loss -0.042 | v_loss 94.503 | ent 2.077 | clipfrac 0.060 | sps 4422
upd   33 | step   67584 | mean_ep_len  360.0 | mean_ep_rew  360.0 | pg_loss -0.010 | v_loss 89.878 | ent 2.070 | clipfrac 0.022 | sps 4423
upd   34 | step   69632 | mean_ep_len  367.3 | mean_ep_rew  367.3 | pg_loss -0.017 | v_loss 92.656 | ent 2.057 | clipfrac 0.008 | sps 4422
upd   35 | step   71680 | mean_ep_len  397.8 | mean_ep_rew  397.8 | pg_loss -0.029 | v_loss 95.875 | ent 2.097 | clipfrac 0.082 | sps 4420
upd   36 | step   73728 | mean_ep_len  367.0 | mean_ep_rew  367.0 | pg_loss -0.013 | v_loss 86.943 | ent 2.108 | clipfrac 0.043 | sps 4420
upd   37 | step   75776 | mean_ep_len  343.1 | mean_ep_rew  343.1 | pg_loss -0.003 | v_loss 89.283 | ent 2.109 | clipfrac 0.048 | sps 4421
upd   38 | step   77824 | mean_ep_len  320.8 | mean_ep_rew  320.8 | pg_loss +0.014 | v_loss 83.564 | ent 2.114 | clipfrac 0.106 | sps 4422
upd   39 | step   79872 | mean_ep_len  277.5 | mean_ep_rew  277.5 | pg_loss +0.001 | v_loss 78.014 | ent 2.123 | clipfrac 0.086 | sps 4422
upd   40 | step   81920 | mean_ep_len  275.1 | mean_ep_rew  275.1 | pg_loss -0.030 | v_loss 81.878 | ent 2.113 | clipfrac 0.045 | sps 4423
upd   41 | step   83968 | mean_ep_len  237.7 | mean_ep_rew  237.7 | pg_loss +0.012 | v_loss 79.598 | ent 2.134 | clipfrac 0.061 | sps 4426
upd   42 | step   86016 | mean_ep_len  235.4 | mean_ep_rew  235.4 | pg_loss -0.036 | v_loss 75.225 | ent 2.125 | clipfrac 0.093 | sps 4427
upd   43 | step   88064 | mean_ep_len  207.3 | mean_ep_rew  207.3 | pg_loss -0.008 | v_loss 68.836 | ent 2.111 | clipfrac 0.047 | sps 4430
upd   44 | step   90112 | mean_ep_len  201.6 | mean_ep_rew  201.6 | pg_loss +0.006 | v_loss 78.548 | ent 2.094 | clipfrac 0.077 | sps 4431
upd   45 | step   92160 | mean_ep_len  197.4 | mean_ep_rew  197.4 | pg_loss +0.002 | v_loss 82.142 | ent 2.116 | clipfrac 0.092 | sps 4431
upd   46 | step   94208 | mean_ep_len  199.3 | mean_ep_rew  199.3 | pg_loss -0.007 | v_loss 77.589 | ent 2.094 | clipfrac 0.015 | sps 4432
upd   47 | step   96256 | mean_ep_len  202.5 | mean_ep_rew  202.5 | pg_loss -0.007 | v_loss 80.895 | ent 2.110 | clipfrac 0.067 | sps 4432
upd   48 | step   98304 | mean_ep_len  215.3 | mean_ep_rew  215.3 | pg_loss -0.017 | v_loss 77.057 | ent 2.070 | clipfrac 0.058 | sps 4433
upd   49 | step  100352 | mean_ep_len  212.5 | mean_ep_rew  212.5 | pg_loss +0.009 | v_loss 79.496 | ent 2.030 | clipfrac 0.088 | sps 4433
upd   50 | step  102400 | mean_ep_len  240.2 | mean_ep_rew  240.2 | pg_loss -0.026 | v_loss 76.948 | ent 2.056 | clipfrac 0.032 | sps 4430
upd   51 | step  104448 | mean_ep_len  254.6 | mean_ep_rew  254.6 | pg_loss +0.004 | v_loss 81.364 | ent 2.053 | clipfrac 0.152 | sps 4403
upd   52 | step  106496 | mean_ep_len  258.0 | mean_ep_rew  258.0 | pg_loss +0.000 | v_loss 72.102 | ent 2.025 | clipfrac 0.076 | sps 4389
upd   53 | step  108544 | mean_ep_len  265.0 | mean_ep_rew  265.0 | pg_loss -0.015 | v_loss 78.939 | ent 1.987 | clipfrac 0.097 | sps 4383
upd   54 | step  110592 | mean_ep_len  267.4 | mean_ep_rew  267.4 | pg_loss +0.000 | v_loss 82.524 | ent 2.033 | clipfrac 0.113 | sps 4376
upd   55 | step  112640 | mean_ep_len  279.2 | mean_ep_rew  279.2 | pg_loss -0.015 | v_loss 67.334 | ent 2.079 | clipfrac 0.045 | sps 4378
